GWO,"Kategoria naukowa",Nazwa jednostki uczelnianej,Nazwa jednostki głównej,Wnioski złożone,Pozyskane granty,Współczynnik sukcesu,Przyznana kwota,Pracownicy naukowi,"Kwota/pracownicy naukowi"
HS1FT,A,Wydział Filozofii Chrześcijańskiej,"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie",12,1,8%,295 664 zł,88,3 360 zł
HS1FT,B,Wydział Teologiczny,Uniwersytet Śląski w Katowicach,3,1,33%,62 517 zł,"37,75",1 656 zł
HS1FT,B,Wydział Teologiczny,Chrześcijańska Akademia Teologiczna w Warszawie,2,0,0%,0 zł,18,0 zł
HS1FT,A,Wydział Teologiczny,Uniwersytet im. Adama Mickiewicza w Poznaniu,5,0,0%,0 zł,59,0 zł
HS1FT,A,Wydział Teologii,Uniwersytet Warmińsko-Mazurski w Olsztynie,6,0,0%,0 zł,43,0 zł
HS1FT,B,Wydział Filozoficzny,Akademia Ignatianum w Krakowie,7,0,0%,0 zł,56,0 zł
HS1FT,A,Wydział Teologii,Katolicki Uniwersytet Lubelski Jana Pawła II,9,0,0%,0 zł,145,0 zł
HS1FT,A,Wydział Teologiczny,"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie",14,0,0%,0 zł,"110,19",0 zł
HS1FT,B,Wydział Teologiczny,Uniwersytet Papieski Jana Pawła II w Krakowie,18,0,0%,0 zł,56,0 zł
HS1HS,B,"Centrum Archeologii Śródziemnomorskiej im. prof. Kazimierza Michałowskiego",Uniwersytet Warszawski,10,4,40%,1 004 313 zł,14,71 737 zł
HS1HS,A,"Ośrodek Badań nad Antykiem Europy Południowo-Wschodniej",Uniwersytet Warszawski,5,1,20%,319 120 zł,"6,5",49 095 zł
HS1HS,A+,Wydział Nauk Historycznych i Pedagogicznych,Uniwersytet Wrocławski,49,16,33%,5 451 882 zł,248,21 983 zł
HS1HS,A+,Wydział Historyczny,Uniwersytet im. Adama Mickiewicza w Poznaniu,74,13,18%,3 795 555 zł,"211,95",17 908 zł
HS1HS,A+,Wydział Historyczny,Uniwersytet Warszawski,82,17,21%,4 729 367 zł,267,17 713 zł
HS1HS,A,Wydział Nauk Historycznych,Uniwersytet Mikołaja Kopernika w Toruniu,31,4,13%,1 019 640 zł,125,8 157 zł
HS1HS,A,Wydział Historyczno-Socjologiczny,Uniwersytet w Białymstoku,19,2,11%,611 120 zł,"82,5",7 408 zł
HS1HS,B,Wydział Socjologiczno-Historyczny,Uniwersytet Rzeszowski,15,3,20%,684 120 zł,123,5 562 zł
HS1HS,B,Wydział Historii i Dziedzictwa Kulturowego,Uniwersytet Papieski Jana Pawła II w Krakowie,11,2,18%,228 160 zł,52,4 388 zł
HS1HS,B,Wydział Humanistyczny,Uniwersytet Jana Kochanowskiego w Kielcach,14,2,14%,467 064 zł,124,3 767 zł
HS1HS,B,Wydział Humanistyczny,Uniwersytet Kazimierza Wielkiego,4,2,50%,551 043 zł,154,3 578 zł
HS1HS,B,Wydział Filozoficzno-Historyczny,Uniwersytet Łódzki,24,2,8%,178 144 zł,"130,5",1 365 zł
HS1HS,B,Wydział Humanistyczny,"Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie",20,2,10%,91 286 zł,123,742 zł
HS1HS,A,Wydział Historyczny,Uniwersytet Gdański,10,1,10%,42 560 zł,82,519 zł
HS1HS,B,"Filia w Piotrkowie Trybunalskim Wydział Filologiczno-Historyczny",Uniwersytet Jana Kochanowskiego w Kielcach,2,0,0%,0 zł,49,0 zł
HS1HS,B,Wydział Filologiczno-Historyczny,Akademia Pomorska w Słupsku,2,0,0%,0 zł,96,0 zł
HS1HS,B,Wydział Humanistyczny,Uniwersytet Szczeciński,13,0,0%,0 zł,"199,5",0 zł
HS1HS,B,Wydział Humanistyczny,Uniwersytet Zielonogórski,14,0,0%,0 zł,149,0 zł
HS1HS,B,Wydział Filologiczno-Historyczny,Akademia im. Jana Długosza w Częstochowie,18,0,0%,0 zł,106,0 zł
HS1PR,B,Wydział Prawa i Nauk Społecznych,Uniwersytet SWPS,4,2,50%,637 797 zł,21,30 371 zł
HS1PR,B,"Wydział Prawa, Administracji i Stosunków Międzynarodowych","Krakowska Akademia im. Andrzeja Frycza Modrzewskiego",7,3,43%,588 300 zł,76,7 741 zł
HS1PR,A,Wydział Prawa i Administracji,Uniwersytet Warszawski,23,8,35%,1 191 756 zł,162,7 357 zł
