GWO,"Kategoria naukowa",Nazwa jednostki uczelnianej,Nazwa jednostki głównej,Wnioski złożone,Pozyskane granty,"Współczynnik sukcesu","Przyznana kwota","Pracownicy naukowi","Kwota/pracownicy naukowi"
HS1HS,B,Wydział Filologiczno-Historyczny,Akademia im. Jana Długosza w Częstochowie,11,1,9%,47 800 zł,106,451 zł
HS1HS,B,Wydział Humanistyczny,Uniwersytet Jana Kochanowskiego w Kielcach,7,1,14%,53 937 zł,124,435 zł
HS1HS,A,"Ośrodek Badań nad Antykiem Europy Południowo-Wschodniej",Uniwersytet Warszawski,2,0,0%,0 zł,"6,5",0 zł
HS1HS,A,Wydział Historyczny,Uniwersytet Gdański,9,0,0%,0 zł,82,0 zł
HS1HS,B,"Filia w Piotrkowie Trybunalskim Wydział Filologiczno-Historyczny",Uniwersytet Jana Kochanowskiego w Kielcach,2,0,0%,0 zł,49,0 zł
HS1HS,B,Wydział Filologiczno-Historyczny,Akademia Pomorska w Słupsku,6,0,0%,0 zł,96,0 zł
HS2HS,B,"",Instytut Kultur Śródziemnomorskich i Orientalnych PAN,14,5,36%,458 153 zł,"24,35",18 815 zł
HS2HS,A+,"",Instytut Historii im. Tadeusza Manteuffla PAN,27,6,22%,1 397 498 zł,"113,75",12 286 zł
HS2HS,A,"",Instytut Archeologii i Etnologii PAN,27,6,22%,1 405 210 zł,"127,4",11 030 zł
HS2HS,A+,"",Instytut Sztuki PAN,8,3,38%,349 860 zł,"57,5",6 085 zł
HS2HS,A,"","Instytut Historii Nauki im. Ludwika i Aleksandra Birkenmajerów PAN",4,0,0%,0 zł,33,0 zł
HS3HS,B,"",Instytut Europy Środkowo-Wschodniej,1,1,100%,1 510 000 zł,7,215 714 zł
HS3HS,B,"",Państwowy Instytut Naukowy - Instytut Śląski w Opolu,3,1,33%,553 200 zł,18,30 733 zł
HS3HS,A,"","Instytut Zachodni - Instytut Naukowo-Badawczy im. Zygmunta Wojciechowskiego",5,1,20%,88 700 zł,18,4 928 zł
HS1PR,B,Wydział Prawa i Nauk Społecznych,Uniwersytet SWPS,3,2,67%,1 587 981 zł,21,75 618 zł
HS1PR,B,"Wydział Prawa, Administracji i Ekonomii",Uniwersytet Wrocławski,30,9,30%,3 301 311 zł,206,16 026 zł
HS1PR,B,Wydział Prawa i Administracji,"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie",16,5,31%,1 357 395 zł,99,13 711 zł
