GWO,"Kategoria naukowa",Nazwa jednostki uczelnianej,Nazwa jednostki głównej,Wnioski złożone,Pozyskane granty,"Współczynnik sukcesu",Przyznana kwota,"Pracownicy naukowi","Kwota/pracownicy naukowi"
HS1HS,B,Wydział Filologiczno-Historyczny,Akademia Pomorska w Słupsku,3,0,0%,0 zł,106,"0,00 zł"
HS1HS,B,Wydział Historii i Dziedzictwa Kulturowego,Uniwersytet Papieski Jana Pawła II w Krakowie,8,0,0%,0 zł,54,"0,00 zł"
HS1HS,A,Wydział Historyczno-Socjologiczny,Uniwersytet w Białymstoku,5,0,0%,0 zł,82,"0,00 zł"
HS1HS,B,Wydział Humanistyczny,Uniwersytet Jana Kochanowskiego w Kielcach,7,0,0%,0 zł,123,"0,00 zł"
HS1HS,A,Wydział Nauk Historycznych,Uniwersytet Mikołaja Kopernika w Toruniu,25,5,20%,1 345 786 zł,BRAK DANYCH,BRAK DANYCH
HS1PR,B,"Wydział Prawa, Administracji i Ekonomii",Uniwersytet Wrocławski,29,8,28%,2 407 903 zł,"199,5","12 069,69 zł"
HS1PR,A,Wydział Prawa i Administracji,Uniwersytet Warszawski,40,12,30%,1 732 329 zł,"169,32","10 231,09 zł"
HS1PR,A,Wydział Prawa,Uniwersytet w Białymstoku,14,3,21%,684 618 zł,97,"7 057,92 zł"
HS1PR,A+,Wydział Prawa i Administracji,Uniwersytet Jagielloński,32,6,19%,1 298 300 zł,"190,5","6 815,22 zł"
HS1PR,A,Wydział Prawa i Administracji,Uniwersytet im. Adama Mickiewicza w Poznaniu,21,7,33%,694 871 zł,"123,8","5 612,85 zł"
HS1PR,A,Wydział Prawa i Administracji,Uniwersytet Gdański,14,3,21%,463 090 zł,117,"3 958,03 zł"
HS1PR,B,Wydział Prawa i Administracji,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,9,2,22%,262 940 zł,97,"2 710,72 zł"
HS1PR,A,Wydział Prawa i Administracji,Uniwersytet Śląski w Katowicach,8,2,25%,255 140 zł,"104,75","2 435,70 zł"
HS1PR,B,Wydział Prawa i Administracji,Uczelnia Łazarskiego,1,1,100%,71 760 zł,"36,5","1 966,03 zł"
HS1PR,B,Wydział Prawa i Administracji,Uniwersytet Łódzki,11,1,9%,297 960 zł,"169,22","1 760,78 zł"
HS1PR,B,"Wydział Prawa, Prawa Kanonicznego i Administracji",Katolicki Uniwersytet Lubelski Jana Pawła II,25,2,8%,168 858 zł,130,"1 298,91 zł"
HS1PR,B,Wydział Prawa i Administracji,Uniwersytet Opolski,5,1,20%,70 320 zł,55,"1 278,55 zł"
HS1PR,B,Wydział Prawa i Administracji,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,5,0,0%,0 zł,134,"0,00 zł"
HS1PR,B,Wydział Prawa i Administracji,Uniwersytet Rzeszowski,2,0,0%,0 zł,81,"0,00 zł"
HS1PR,B,Wydział Prawa i Administracji,Uniwersytet Warmińsko-Mazurski w Olsztynie,8,0,0%,0 zł,147,"0,00 zł"
HS1PR,B,Wydział Prawa i Administracji,Wyższa Szkoła Finansów i Zarządzania w Warszawie,2,0,0%,0 zł,24,"0,00 zł"
HS1PR,B,Wydział Prawa Kanonicznego,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,4,0,0%,0 zł,26,"0,00 zł"
HS1PR,B,"Wydział Prawa, Administracji i Stosunków Międzynarodowych",Krakowska Akademia im. Andrzeja Frycza Modrzewskiego,3,0,0%,0 zł,66,"0,00 zł"
HS1PR,B,Wydział Prawa i Administracji,Uniwersytet Mikołaja Kopernika w Toruniu,11,4,36%,389 642 zł,BRAK DANYCH,BRAK DANYCH
HS1PR,B,Wydział Prawa i Nauk Społecznych,SWPS Uniwersytet Humanistycznospołeczny w Warszawie,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
HS1SP,A+,Wydział Zamiejscowy we Wrocławiu,SWPS Uniwersytet Humanistycznospołeczny w Warszawie,9,4,44%,2 533 176 zł,32,"79 161,75 zł"
HS1SP,A,Instytut Studiów Społecznych im. prof. Roberta B. Zajonca,Uniwersytet Warszawski,10,4,40%,665 398 zł,"9,5","70 041,89 zł"
HS1SP,A+,Wydział Psychologii,Uniwersytet Warszawski,32,12,38%,5 346 507 zł,82,"65 201,30 zł"
HS1SP,A,Ośrodek Badań nad Migracjami,Uniwersytet Warszawski,10,3,30%,537 594 zł,"11,2","47 999,46 zł"
HS1SP,A,Wydział Psychologii,SWPS Uniwersytet Humanistycznospołeczny w Warszawie,25,5,21%,3 144 084 zł,"75,5","41 643,50 zł"
HS1SP,A,Wydział Filozoficzny,Uniwersytet Jagielloński,89,28,31%,7 207 354 zł,230,"31 336,32 zł"
HS1SP,A,Instytut Ameryk i Europy,Uniwersytet Warszawski,15,4,27%,1 145 571 zł,"40,25","28 461,39 zł"
HS1SP,B,Wydział Studiów Międzynarodowych i Politologicznych,Uniwersytet Łódzki,27,4,15%,1 262 860 zł,66,"19 134,24 zł"
HS1SP,A,Wydział Nauk Politycznych i Dziennikarstwa,Uniwersytet im. Adama Mickiewicza w Poznaniu,25,4,16%,1 047 159 zł,"74,5","14 055,83 zł"
HS1SP,B,Wydział Humanistyczny,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,6,1,17%,434 044 zł,"45,5","9 539,43 zł"
HS1SP,A,Wydział Filozofii i Socjologii,Uniwersytet Warszawski,48,7,15%,1 167 119 zł,137,"8 519,12 zł"
HS1SP,B,Wydział Nauk Społecznych,Uniwersytet Gdański,25,6,24%,1 934 212 zł,239,"8 092,94 zł"
HS1SP,B,Wydział Pedagogiki i Psychologii,Uniwersytet Kazimierza Wielkiego w Bydgoszczy,6,1,17%,600 455 zł,86,"6 982,03 zł"
HS1SP,A,Wydział Nauk Społecznych,Uniwersytet im. Adama Mickiewicza w Poznaniu,48,7,15%,1 083 431 zł,"217,6","4 979,00 zł"
HS1SP,A,Wydział Dziennikarstwa i Nauk Politycznych,Uniwersytet Warszawski,21,3,14%,1 012 388 zł,"217,25","4 660,01 zł"
HS1SP,B,Wydział Nauk Pedagogicznych,Dolnośląska Szkoła Wyższa,2,1,50%,262 360 zł,59,"4 446,78 zł"
HS1SP,B,Wydział Studiów Miedzynarodowych i Politycznych,Uniwersytet Jagielloński,41,7,17%,822 559 zł,197,"4 175,43 zł"
HS1SP,B,Wydział Nauk Społecznych i Dziennikarstwa,Dolnośląska Szkoła Wyższa,1,1,100%,112 882 zł,34,"3 320,06 zł"
HS1SP,A,Wydział Zarządzania i Komunikacji Społecznej,Uniwersytet Jagielloński,23,3,13%,656 632 zł,"198,75","3 303,81 zł"
HS1SP,A,Wydział Nauk Społecznych,Katolicki Uniwersytet Lubelski Jana Pawła II,26,3,12%,616 180 zł,199,"3 096,38 zł"
HS1SP,B,Wydział Stosowanych Nauk Społecznych,Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej,5,2,40%,246 771 zł,91,"2 711,77 zł"
HS1SP,B,Wydział Politologii,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,5,1,20%,268 048 zł,107,"2 505,12 zł"
HS1SP,B,Wydział Nauk Społecznych,Uniwersytet Śląski w Katowicach,22,4,18%,402 544 zł,166,"2 424,96 zł"
