"GWO","kategoria","wydzial","jednostka.gl","zlozone","pozyskane","procent.sukcesu","kwota.calk","liczba.pracownikow","kwota.na.pracownika","dziedzina","szer.geog","dl.geog","adres","miasto"
"HS2EK","A","","Instytut Rozwoju Wsi i Rolnictwa PAN",2,1,0.5,995636,22.35,44547.4720357942,"HS",52.2375842,21.0179278,"Nowy Swiat 72, Warszawa, Poland"," Warszawa"
"HS2EK","B","","Instytut Nauk Ekonomicznych PAN",1,1,1,182000,26,7000,"HS",52.2375842,21.0179278,"Nowy Swiat 72, Warszawa, Poland"," Warszawa"
"HS3EK","A","","Instytut Pracy i Spraw Socjalnych",7,4,0.571428571428571,949812,46,20648.0869565217,"HS",52.2422351,20.9814611,"Bellottiego 3B, Warszawa, Poland"," Warszawa"
"HS3EK","B","","Instytut Badań Rynku, Konsumpcji i Koniunktur",2,2,1,413600,34.5,11988.4057971014,"HS",52.2271481,21.0001371,"Aleje Jerozolimskie 87, Warszawa, Poland"," Warszawa"
"HS1FB","A","Wydział „Artes Liberales”","Uniwersytet Warszawski",12,5,0.416666666666667,2934246,46.3,63374.6436285097,"HS",52.2377474,21.0175016,"Nowy Swiat 69, Warszawa, Poland"," Warszawa"
"HS1FB","A","Wydział Anglistyki","Uniwersytet im. Adama Mickiewicza w Poznaniu",27,9,0.333333333333333,2197126,89,24686.808988764,"HS",52.4034188,16.921016,"aleja Niepodleglosci 4, 61-874 Poznan, Poland"," Poznan"
"HS1FB","A","Wydział Polonistyki","Uniwersytet Warszawski",44,10,0.227272727272727,2880964,162.1,17772.7575570635,"HS",52.2400687,21.0205794,"Krakowskie Przedmiescie 26/28, 01-999 Warszawa, Poland"," Warszawa"
"HS1FB","A+","Wydział Polonistyki","Uniwersytet Jagielloński",54,13,0.240740740740741,1499452,145,10341.0482758621,"HS",50.0607343,19.9341184,"Golebia 16, Krak�w, Poland"," Krak�w"
"HS1FB","B","Wydział Filologiczny","Uniwersytet Jagielloński",23,9,0.391304347826087,1893757,237.36,7978.41675092686,"HS",50.0609623,19.9341074,"Golebia 24, 31-007 Krak�w, Poland"," Krak�w"
"HS1FB","B","Wydział Neofilologii","Uniwersytet im. Adama Mickiewicza w Poznaniu",31,9,0.290322580645161,1857926,245.5,7567.9266802444,"HS",52.4034221,16.9213969,"aleja Niepodleglosci 4, Poznan, Poland"," Poznan"
"HS1FB","A","Wydział Filologiczny","Uniwersytet Wrocławski",31,3,0.0967741935483871,2103625,313.21,6716.34047444207,"HS",51.1129833,17.038719,"plac Nankiera 15, 50-996 Wroclaw, Poland"," Wroclaw"
"HS1FB","A","Wydział Filologiczny","Uniwersytet Śląski w Katowicach",17,5,0.294117647058824,2506440,374.5,6692.76368491322,"HS",50.2860184,19.1297391,"Generala Stefana Grota-Roweckiego 5, Sosnowiec, Poland"," Sosnowiec"
"HS1FB","A+","Wydział Filologii Polskiej i Klasycznej","Uniwersytet im. Adama Mickiewicza w Poznaniu",49,10,0.204081632653061,1404819,217,6473.8202764977,"HS",52.409562,16.9189488,"Fredry 10, Poznan, Poland"," Poznan"
"HS1FB","B","Wydział Filologiczny","Uniwersytet Łódzki",22,8,0.363636363636364,1817350,297,6119.02356902357,"HS",51.7759787,19.4945804,"Pomorska 171/173, 91-404 L�dz, Poland"," L�dz"
"HS1FB","A","Wydział Orientalistyczny","Uniwersytet Warszawski",10,4,0.4,368933,80,4611.6625,"HS",52.2401733,21.0198462,"Gmach Porektorski, Krakowskie Przedmiescie 26/28, 00-927 Warszawa, Poland"," Warszawa"
"HS1FB","B","Wydział Filologiczny","Uniwersytet w Białymstoku",3,2,0.666666666666667,390563,94.5,4132.9417989418,"HS",53.1314367,23.1548291,"plac Uniwersytecki 1, 15-420 Bialystok, Poland"," Bialystok"
"HS1FB","A","Wydział Lingwistyki Stosowanej","Uniwersytet Warszawski",16,4,0.25,475601,117,4064.96581196581,"HS",52.2420295,21.0242224,"Dobra 55, 00-312 Warszawa, Poland"," Warszawa"
"HS1FB","B","Wydział Humanistyczny","Uniwersytet Marii Curie-Skłodowskiej",13,5,0.384615384615385,1291556,360,3587.65555555556,"HS",51.2446815,22.5408883,"Plac Marii Sklodowskiej-Curie 4A, 20-031 Lublin, Poland"," Lublin"
"HS1FB","B","Wydział Nauk Humanistycznych","Uniwersytet Kardynała Stefana Wyszyńskiego w 
Warszawie",7,2,0.285714285714286,185724,65,2857.29230769231,"HS",52.295454,20.9597091,"Dewajtis 5, Warszawa, Poland"," Warszawa"
"HS1FB","B","Wydział Nauk Humanistycznych","Katolicki Uniwersytet Lubelski Jana Pawła II",18,3,0.166666666666667,459824,258,1782.26356589147,"HS",51.2476612,22.5448037,"Aleje Raclawickie 14, 20-950 Lublin, Poland"," Lublin"
"HS1FB","A","Wydział Filologiczny","Uniwersytet Mikołaja Kopernika w Toruniu",6,2,0.333333333333333,219786,129,1703.76744186047,"HS",53.0118484,18.6015756,"Fosa Staromiejska 3, Torun, Poland"," Torun"
"HS1FB","B","Wydział Humanistyczny","Uniwersytet Warmińsko-Mazurski w Olsztynie",16,2,0.125,231530,177,1308.0790960452,"HS",53.7501181,20.4561573,"Kurta Obitza 1, 10-725 Olsztyn, Poland"," Olsztyn"
"HS1FB","B","Wydział Neofilologii","Uniwersytet Warszawski",10,2,0.2,216810,166.25,1304.12030075188,"HS",52.2419184,21.0238006,"Dobra 55, 00-312 Warszawa, Poland"," Warszawa"
"HS1FB","B","Wydział Filologiczny","Uniwersytet Gdański",13,1,0.0769230769230769,87963,241,364.991701244813,"HS",54.396889,18.57253,"Wita Stwosza 55, 80-308 Gdansk, Poland"," Gdansk"
"HS1FB","B","Wydział Filologiczny","Uniwersytet Opolski",7,1,0.142857142857143,34200,113,302.654867256637,"HS",50.6690459,17.9259921,"plac Kopernika 11a, Opole, Poland"," Opole"
"HS1FB","B","Wydział Filologiczny","Uniwersytet Pedagogiczny im. Komisji Edukacji 
Narodowej w Krakowie",13,0,0,0,175,0,"HS",50.2860184,19.1297391,"Generala Stefana Grota-Roweckiego 5, Sosnowiec, Poland"," Sosnowiec"
"HS1FB","B","Wydział Filologiczny","Uniwersytet Rzeszowski",2,0,0,0,112,0,"HS",50.0302925,22.0156175,"aleja Tadeusza Rejtana 16C, Rzesz�w, Poland"," Rzesz�w"
"HS1FB","B","Wydział Humanistyczno-Społeczny","Akademia Techniczno-Humanistyczna w Bielsku-Białej",4,0,0,0,57.5,0,"HS",49.7841414,19.0577026,"Willowa 2, Bielsko-Biala, Poland"," Bielsko-Biala"
"HS1FB","B","Wydział Kulturoznawstwa i Filologii","Uniwersytet SWPS",10,3,0.3,1351638,NA,NA,"HS",NA,NA,NA,NA
"HS2FB","A+","","Instytut Badań Literackich PAN",24,9,0.375,2705106,101.5,26651.2906403941,"HS",52.2375842,21.0179278,"Nowy Swiat 72, Warszawa, Poland"," Warszawa"
"HS2FB","A","","Instytut Slawistyki PAN",6,3,0.5,778818,64.16,12138.6845386534,"HS",52.2374844,21.0228069,"Juliana Bartoszewicza 1B, Warszawa, Poland"," Warszawa"
"HS2FB","A","","Instytut Języka Polskiego PAN",18,0,0,0,76,0,"HS",50.0664102,19.9251385,"aleja Adama Mickiewicza 31, Krak�w, Poland"," Krak�w"
"HS1HS","A+","Wydział Historyczny","Uniwersytet Warszawski",89,35,0.393258426966292,9003699,267,33721.7191011236,"HS",52.2396899,21.0185512,"Krakowskie Przedmiescie 26/28, 00-927 Warszawa, Poland"," Warszawa"
"HS1HS","B","Centrum Archeologii Śródziemnomorskiej im. prof. 
Kazimierza Michałowskiego","Uniwersytet Warszawski",6,1,0.166666666666667,417700,14,29835.7142857143,"HS",52.2403463,21.0186012,"Krakowskie Przedmiescie 26/28, 00-927 Warszawa, Poland"," Warszawa"
"HS1HS","A+","Wydział Historyczny","Uniwersytet im. Adama Mickiewicza w Poznaniu",41,14,0.341463414634146,3255505,211.95,15359.7782495872,"HS",52.4664975,16.9209705,"Umultowska 89D, 61-614 Poznan, Poland"," Poznan"
"HS1HS","A","Wydział Historyczny","Uniwersytet Jagielloński",50,14,0.28,2462345,173,14233.2080924855,"HS",50.0570872,19.9380626,"Grodzka 53, Krak�w, Poland"," Krak�w"
"HS1HS","A+","Wydział Nauk Historycznych i Pedagogicznych","Uniwersytet Wrocławski",37,9,0.243243243243243,2065338,248,8327.97580645161,"HS",51.1126386,17.0616732,"Dwudziestolatka, Wroclaw, Poland"," Wroclaw"
"HS1HS","B","Wydział Humanistyczny","Uniwersytet Pedagogiczny im. Komisji Edukacji 
Narodowej w Krakowie",29,6,0.206896551724138,837040,123,6805.20325203252,"HS",50.0737364,19.9088735,"Podchorazych 2, Krak�w, Poland"," Krak�w"
"HS1HS","B","Wydział Socjologiczno-Historyczny","Uniwersytet Rzeszowski",13,4,0.307692307692308,740880,123,6023.41463414634,"HS",50.0302925,22.0156175,"aleja Tadeusza Rejtana 16C, Rzesz�w, Poland"," Rzesz�w"
"HS1HS","A","Wydział Nauk Historycznych","Uniwersytet Mikołaja Kopernika w Toruniu",28,4,0.142857142857143,601169,125,4809.352,"HS",53.0223149,18.5689007,"Bojarskiego 1, 87-100 Torun, Poland"," Torun"
"HS1HS","B","Wydział Humanistyczny","Uniwersytet Zielonogórski",21,4,0.19047619047619,585910,149,3932.28187919463,"HS",51.936343,15.5071594,"Licealna 9, Zielona G�ra, Poland"," Zielona G�ra"
"HS1HS","A","Wydział Historyczno-Socjologiczny","Uniwersytet w Białymstoku",15,1,0.0666666666666667,285000,82.5,3454.54545454545,"HS",53.131433,23.154744,"plac Uniwersytecki 1, 15-403 Bialystok, Poland"," Bialystok"
"HS1HS","B","Wydział Filozoficzno-Historyczny","Uniwersytet Łódzki",19,3,0.157894736842105,351640,130.5,2694.55938697318,"HS",51.775679,19.475259,"Harcmistrza Aleksandra Kaminskiego 27, 90-219 L�dz, Poland"," L�dz"
"HS1HS","B","Wydział Humanistyczny","Uniwersytet Kazimierza Wielkiego",3,2,0.666666666666667,252850,154,1641.88311688312,"HS",53.1311376,18.0191983,"Jana Karola Chodkiewicza 30, 85-064 Bydgoszcz, Poland"," Bydgoszcz"
"HS1HS","B","Wydział Humanistyczny","Uniwersytet Szczeciński",18,3,0.166666666666667,238430,199.5,1195.13784461153,"HS",53.4038397,14.4972862,"Krakowska 71-79, 71-017 Szczecin, Poland"," Szczecin"
