"GWO","kategoria","wydzial","jednostka.gl","zlozone","pozyskane","procent.sukcesu","kwota.calk","liczba.pracownikow","kwota.na.pracownika","dziedzina"
"HS1PR","B","Wydział Prawa i Administracji","Uniwersytet Szczeciński",3,0,0,0,66,0,"HS"
"HS1PR","B","Wydział Prawa i Administracji","Uniwersytet Rzeszowski",1,0,0,0,85,0,"HS"
"HS1PR","B","Wydział Prawa i Administracji","Wyższa Szkoła Menedżerska w Warszawie",1,0,0,0,NA,NA,"HS"
"HS2PR","A","","Instytut Nauk Prawnych PAN",16,9,0.5625,870164,63,13812.126984127,"HS"
"HS1SP","A","Instytut Studiów Społecznych im. prof. Roberta B. 
Zajonca","Uniwersytet Warszawski",8,4,0.5,2821452,9,313494.666666667,"HS"
"HS1SP","A","Ośrodek Badań nad Migracjami","Uniwersytet Warszawski",2,2,1,2315566,9.7,238718.144329897,"HS"
"HS1SP","A","Wydział Filozoficzny","Uniwersytet Jagielloński",94,32,0.340425531914894,11207404,236,47489,"HS"
"HS1SP","A+","Wydział Psychologii","Uniwersytet Warszawski",16,9,0.5625,2925422,77,37992.4935064935,"HS"
"HS1SP","A+","Wydział Zamiejscowy we Wrocławiu","Uniwersytet SWPS",11,3,0.272727272727273,860506,30.5,28213.3114754098,"HS"
"HS1SP","A","Instytut Ameryk i Europy","Uniwersytet Warszawski",10,3,0.3,772950,39,19819.2307692308,"HS"
"HS1SP","A","Wydział Psychologii","Uniwersytet SWPS",27,9,0.333333333333333,1206284,73,16524.4383561644,"HS"
"HS1SP","B","Wydział Stosowanych Nauk Społecznych","Akademia Pedagogiki Specjalnej im. Marii 
Grzegorzewskiej",9,4,0.444444444444444,1442159,89,16204.0337078652,"HS"
"HS1SP","A","Wydział Filozofii i Socjologii","Uniwersytet Warszawski",46,15,0.326086956521739,2192451,137,16003.2919708029,"HS"
"HS1SP","B","Wydział Stosowanych Nauk Społecznych i 
Resocjalizacji","Uniwersytet Warszawski",13,5,0.384615384615385,1425220,95,15002.3157894737,"HS"
"HS1SP","A","Wydział Nauk Politycznych i Dziennikarstwa","Uniwersytet im. Adama Mickiewicza w Poznaniu",21,3,0.142857142857143,693920,69,10056.8115942029,"HS"
